date,price,market_cap,total_volume,coin_id
2025-03-09,45679.56410656516,47152060391672.445,82652160174.6198,bitcoin
2025-03-10,45499.224429116526,47906393437119.73,58119824863.32523,bitcoin
2025-03-11,46392.40405865864,37356916575316.734,89525123738.05278,bitcoin
2025-03-12,48521.39303422683,51695417475589.77,27481268119.639423,bitcoin
2025-03-13,48190.25387507643,41984042477000.35,59885164197.08916,bitcoin
2025-03-14,47861.39834394388,56688386395533.59,87927921154.28917,bitcoin
2025-03-15,50138.47063259848,43092265229923.36,57809104481.48505,bitcoin
2025-03-16,51302.83843562708,49550828520934.05,64984408074.130226,bitcoin
2025-03-17,50590.537946175624,42199584605590.95,69463036506.46167,bitcoin
2025-03-18,51424.10818795829,61644634301053.02,53181521871.82469,bitcoin
2025-03-19,50719.467762453816,50763999664747.3,64860170405.67428,bitcoin
2025-03-20,50020.96469933964,51929464933024.36,61941216054.809265,bitcoin
2025-03-21,50394.0644796168,41667354114324.63,83328165708.14175,bitcoin
2025-03-22,47511.604252006866,52262013431307.34,25567630673.048405,bitcoin
2025-03-23,45062.49817008961,39833546697976.25,41465015297.47555,bitcoin
2025-03-24,44311.36824699906,51366700327681.06,86652775175.16771,bitcoin
2025-03-25,42973.83253829368,37905320653450.77,82592805412.63686,bitcoin
2025-03-26,43387.55967219799,38019437681378.49,53256830813.035614,bitcoin
2025-03-27,42214.32872131836,34388630854332.477,64358950351.60373,bitcoin
2025-03-28,40434.18800598754,39982407848785.99,41223229851.22646,bitcoin
2025-03-29,42220.14437978829,43315185183026.99,35198178281.35389,bitcoin
2025-03-30,41942.61916854196,34656492310684.137,53799642333.4488,bitcoin
2025-03-31,42035.9769855465,46668806007256.08,46351275391.75857,bitcoin
2025-04-01,40247.66372196757,39495657613518.51,61896787549.93386,bitcoin
2025-04-02,39598.40926972982,39984735616542.8,27747087995.136482,bitcoin
2025-04-03,39738.09969472145,38796509347597.4,88271649517.46625,bitcoin
2025-04-04,38373.898388832655,36850655101477.055,89069225252.37318,bitcoin
2025-04-05,38814.08309593689,39740037006043.44,69625915696.3328,bitcoin
2025-04-06,38122.44871192178,32865214294945.312,58686504728.22813,bitcoin
2025-04-07,37796.4708011817,32987673149816.598,43393114099.32712,bitcoin
2025-04-08,37121.75850334174,42493805884639.87,77431163830.21902,bitcoin
2025-04-09,39191.97755843289,46185636430597.39,68719354147.386856,bitcoin
2025-04-10,39183.94646607366,37198250078615.89,33476643405.78016,bitcoin
2025-04-11,37948.42460286321,34468473208456.57,83987584953.33437,bitcoin
2025-04-12,38892.44279516628,41132640394347.68,78021263897.3139,bitcoin
2025-04-13,37475.773529175116,36107670515223.04,86611494147.20488,bitcoin
2025-04-14,37718.088427427574,30557480665000.863,71486066816.2143,bitcoin
2025-04-15,35508.181714480495,30624423292571.113,63905525725.66581,bitcoin
2025-04-16,34100.43920357569,37046338347364.25,50731404949.616776,bitcoin
2025-04-17,34308.65092957528,36489637348514.266,85459172626.3959,bitcoin
2025-04-18,35075.58642324779,28440632269310.082,80959312541.27756,bitcoin
2025-04-19,35262.926829244905,31341296705144.28,25552260232.167786,bitcoin
2025-04-20,35147.636507017225,31366802388177.973,24279770778.564507,bitcoin
2025-04-21,34837.17353701387,37232476472414.805,47911277264.26835,bitcoin
2025-04-22,33298.91515701963,26901667935368.43,77212349827.77373,bitcoin
2025-04-23,32586.474003402822,27426191842870.836,89141138728.75874,bitcoin
2025-04-24,32142.673498158285,35998715421756.76,32653140149.488155,bitcoin
2025-04-25,33168.46406980794,28903592139128.418,62603823286.26912,bitcoin
2025-04-26,33517.01648936031,35564854015583.055,48210132822.59395,bitcoin
2025-04-27,31750.964513897266,28425784822652.207,87969221852.48572,bitcoin
2025-04-28,32066.014065153362,26928286891674.53,79343027311.66034,bitcoin
2025-04-29,31701.985653364263,28445205046836.152,79087187568.0018,bitcoin
2025-04-30,31064.532904230553,33826380271491.55,54136788286.1605,bitcoin
2025-05-01,31640.78895685444,36142595708874.234,50500316407.7924,bitcoin
2025-05-02,32625.766263823178,36935236710636.79,40954977355.32267,bitcoin
2025-05-03,33543.80324184886,32164261060848.887,26305346023.93758,bitcoin
2025-05-04,32705.995578214468,34904952271591.72,80868760397.21608,bitcoin
2025-05-05,32409.143819410543,28584661259869.188,77370818116.28024,bitcoin
2025-05-06,32737.70457388851,30028957175027.215,89980942946.81383,bitcoin
2025-05-07,33702.36535991014,39045347184317.266,89772986502.48862,bitcoin
2025-05-08,33224.62667593457,26752494962632.957,59991640128.17735,bitcoin
2025-05-09,33046.21809560901,27567267900347.953,74406650524.68446,bitcoin
2025-05-10,31956.021734094036,28222104462341.58,86271686767.06389,bitcoin
2025-05-11,30815.63279211318,24979548894386.99,79851198870.72528,bitcoin
2025-05-12,31572.950839981884,27549741501073.867,39195996867.66585,bitcoin
2025-05-13,32863.88042262835,33955507594554.89,52911729133.43131,bitcoin
2025-05-14,32799.45723796782,31768564400849.633,31218260522.72591,bitcoin
2025-05-15,33793.47716055452,39101374160504.76,86898444339.96376,bitcoin
2025-05-16,34166.86401857305,38505284421568.57,63416787825.4344,bitcoin
2025-05-17,33512.44582343811,31392010850864.95,37933389371.483734,bitcoin
2025-05-18,33882.48583211568,30621952988794.375,67839796197.39532,bitcoin
2025-05-19,35452.63739445887,33746548822840.29,64223656230.90797,bitcoin
2025-05-20,35421.62409472242,36700981499288.055,46675983467.216736,bitcoin
2025-05-21,33218.298585378834,30136486092598.285,30165137473.47496,bitcoin
2025-05-22,30614.23799253878,32134527677101.645,67831190702.51397,bitcoin
2025-05-23,31375.21840640549,30238326727375.383,57620769811.00604,bitcoin
2025-05-24,31463.42707341507,32118460145060.32,74631491442.15565,bitcoin
2025-05-25,31187.48587985582,30390664691579.94,57611036325.059555,bitcoin
2025-05-26,34926.608838120315,32055163230392.473,80022251271.50146,bitcoin
2025-05-27,32851.02289931576,38743882841830.836,59753711617.27778,bitcoin
2025-05-28,32641.09971736504,36082852922662.62,60363313078.63857,bitcoin
2025-05-29,32997.3243490197,28247203441750.5,81674118179.4383,bitcoin
2025-05-30,34466.920288324116,39546902829953.516,49735093469.3368,bitcoin
2025-05-31,33937.91832335028,33767294736458.12,31546027920.418247,bitcoin
2025-06-01,33121.548211216745,38348820453182.98,24442830651.15038,bitcoin
2025-06-02,32629.603417576902,36543266651271.664,73471764757.96928,bitcoin
2025-06-03,33532.20558030728,32529103123199.92,64370894716.358864,bitcoin
2025-06-04,33869.62451523922,27400110426559.188,70025384346.6976,bitcoin
2025-06-05,33338.11506460109,30253370740652.273,36875080901.85148,bitcoin
2025-06-06,33858.123749935374,34421986306822.977,31705074602.10696,bitcoin
2025-06-07,33963.501285060345,35776856361297.516,23481764932.582027,bitcoin
2025-06-08,34957.251246739295,31571818842642.848,46164660219.4453,bitcoin
2025-06-09,34227.987305252,29290341017911.35,62319443862.68774,bitcoin
2025-06-10,33898.37642888825,38439812926663.984,48976473044.23193,bitcoin
2025-06-11,33506.401210902724,39998630736538.49,52029557236.60171,bitcoin
2025-06-12,32041.98892023686,32371254734917.47,83530711878.32802,bitcoin
2025-06-13,32333.045797123723,28086802322399.258,46007244024.07278,bitcoin
2025-06-14,32592.733768412338,29624283093303.44,57194290518.287224,bitcoin
2025-06-15,32604.25216109554,26323247431103.137,75396578360.02716,bitcoin
2025-06-16,32381.316870018403,37747533243660.8,49266637806.68574,bitcoin
2025-06-17,31012.84607878578,26270995346741.543,64490852265.38146,bitcoin
2025-06-18,30627.68638854104,31565095434783.85,80709550340.4053,bitcoin
2025-06-19,30318.915343829278,27578755089283.363,86592642096.89085,bitcoin
2025-06-20,29595.25382866378,30236618523217.734,32427459962.71006,bitcoin
2025-06-21,29457.974132158746,31242189285419.0,85044664698.40086,bitcoin
2025-06-22,29820.941317628756,33754225708957.363,55717849782.86883,bitcoin
2025-06-23,31514.340678116423,27813564655082.62,39931496210.179695,bitcoin
2025-06-24,31685.694686304738,25487919936922.004,53491663546.08264,bitcoin
2025-06-25,31936.851716645397,27298159801175.15,88652198831.7697,bitcoin
2025-06-26,31871.912041806707,36971655629033.016,55751721344.51869,bitcoin
2025-06-27,30043.63920214422,34536846638764.188,44690733694.40681,bitcoin
2025-06-28,30025.75073074924,31195711340219.117,65254557666.37899,bitcoin
2025-06-29,30086.00959899989,31295670090147.18,38709829267.52803,bitcoin
2025-06-30,32315.30057614649,34448584473766.453,27620774647.334816,bitcoin
2025-07-01,32135.277564381136,27962463937658.9,31199381228.968822,bitcoin
2025-07-02,32432.413846234776,37808565739459.484,31143094129.649643,bitcoin
2025-07-03,32405.12673459155,31352226160408.863,32753431812.07987,bitcoin
2025-07-04,31275.47296230863,29813513842281.258,31870834153.835186,bitcoin
2025-07-05,32353.997777983317,32598823135857.508,65759045274.21699,bitcoin
2025-07-06,33090.30976760112,27093895169729.465,34776905696.942276,bitcoin
2025-07-07,33882.19259446633,29359372125753.125,45832541624.36077,bitcoin
2025-07-08,32964.607806394815,36103281730488.06,83033217668.65579,bitcoin
2025-07-09,34358.47765674761,28624716598163.652,54492410717.74389,bitcoin
2025-07-10,32920.385299707865,34278708174952.32,67560147350.16934,bitcoin
2025-07-11,33506.55622608095,30093566476287.195,34131591306.110016,bitcoin
2025-07-12,35715.096274934294,34133569153914.977,35479508769.58528,bitcoin
2025-07-13,34660.92628771342,31731297962144.242,25258631597.98732,bitcoin
2025-07-14,34079.00635709112,32111594191854.043,33903116757.371105,bitcoin
2025-07-15,34187.70274349198,37183173260939.22,41304847884.6572,bitcoin
2025-07-16,33678.160003995385,30945133074963.87,34448207688.68041,bitcoin
2025-07-17,32118.19090168249,32971309667207.81,28487421028.601257,bitcoin
2025-07-18,32190.67810127104,31882296583885.566,30642921299.290554,bitcoin
2025-07-19,31171.227930061043,33211960410500.17,53602566842.208984,bitcoin
2025-07-20,31620.33590368548,37145417139752.766,36427525992.391,bitcoin
2025-07-21,30754.48487713237,33615538895730.613,47088215620.74509,bitcoin
2025-07-22,32190.658800697573,28520155996441.184,56480665782.70284,bitcoin
2025-07-23,31440.693747814144,25544722758074.746,69101650932.48215,bitcoin
2025-07-24,31143.206761594327,28181662752380.016,25153569439.274178,bitcoin
2025-07-25,31909.501450086464,33123057197106.863,76460201926.36037,bitcoin
2025-07-26,30737.59534967321,25222358617901.234,64883276290.63627,bitcoin
2025-07-27,30953.490011586888,30908499079202.445,28018734656.548855,bitcoin
2025-07-28,32173.499615241188,33419808960187.75,81466557127.20746,bitcoin
2025-07-29,30628.383478304368,28597646807932.44,84658887035.8974,bitcoin
2025-07-30,30804.16025366622,34142249429210.285,26622762290.20331,bitcoin
2025-07-31,31050.485222952924,26164359171851.45,41189241249.93626,bitcoin
2025-08-01,31784.974705810153,26383280761417.473,76918586386.03165,bitcoin
2025-08-02,27325.48932505616,29819637093751.926,73007529100.89694,bitcoin
2025-08-03,26248.490730370144,26201152272463.035,34955168806.55547,bitcoin
